UUID,Nav code,Nom du Produit,Concept mapping,"Dosage Form (Tablet, etc)"
a6985b15-5fd6-4bdf-93f6-62930a438464,21100,"Abacavir (ABC) sulfate 120mg + Lamivudine (3TC) 60mg, tablet for oral suspension",CIEL:103166,
78f9712e-dfbe-11e9-8a34-2a2ae2dbcce4,10924,"Abacavir (ABC) sulfate 600mg + Lamivudine (3TC) 300mg tablet",CIEL:103166,
35c6041e-0af3-4bab-887d-9db682a02248,18893,"Abacavir (ABC) sulfate, 60mg dispersible tablet",CIEL:70057,
f2a2c2d9-16a6-4138-9074-6fdf3307e107,21376,"Abacavir sulfate (ABC) 300mg + Lamivudine (3TC) 300mg tablet",CIEL:103166,
78faa9b8-dfbe-11e9-8a34-2a2ae2dbcce4,14074,"Abacavir sulfate (ABC) 60mg + Lamivudine (3TC) 30mg, tablet for oral suspension",CIEL:103166,
78f981d2-dfbe-11e9-8a34-2a2ae2dbcce4,11858,"Abacavir sulfate (ABC), 300mg tablet",CIEL:70057,
78f98308-dfbe-11e9-8a34-2a2ae2dbcce4,11861,"Abacavir sulfate (ABC), Oral solution, 20mg/mL, 240mL bottle",CIEL:70057,
2033cc3e-179e-41ab-b8e4-3de9fcc5b6c9,11627,"Acetazolamide, 250mg tablet",PIH:4031,
ec08318d-5255-467e-847c-738eff37b3d5,10629,"Acetylcysteine, Solution for injection, 200mg/mL, 10mL ampoule",CIEL:70148,
42693ebf-2bc5-48da-adb8-ace7c1b1a65b,19375,"Acetylsalicylic acid, 81mg tablet",PIH:88,
0962492b-295e-4f61-8d7b-717a61f43997,11059,"Aciclovir, 200mg tablet",CIEL:70245,
a9f1a64c-0800-44b3-b1aa-a8732c7f7391,12298,"Aciclovir, 400mg tablet",CIEL:70245,
f1403640-6911-4758-bbdb-183329c65708,10333,"Aciclovir, Eye ointment, 3%, 4.5 gram tube",CIEL:70245,
af8c4162-dfbe-11e9-8a34-2a2ae2dbcce4,11919,"Aciclovir, Powder for solution for infusion, 250mg vial",CIEL:70245,
78fb8eaa-dfbe-11e9-8a34-2a2ae2dbcce4,14153,"Aciclovir, Powder for solution for infusion, 500mg vial",CIEL:70245,
a7da6ae3-8038-47ad-962b-1a6eedc0c76c,11429,"Adenosine, Solution for injection, 3mg/mL, 2mL ampoule",CIEL:70272,
0b1cc49f-60cc-4370-8bad-1557e7bd333d,11804,"Adrenaline, Solution for injection, 100 microgram/mL (1:10,000), 10mL prefilled syringe",PIH:4032,
d76a4455-bcf0-48b0-b34e-55e1c1b09d37,11323,"Adrenaline (Epinephrine), Solution for injection, 1mg/mL (1:1,000), 1mL ampoule",PIH:4032,
af52a21e-0081-459e-8aeb-611330790985,10369,"Albendazole, 200mg chewable tablet",PIH:941,
8112cd30-ae2a-11e4-ab27-0800200c9a66,10625,"Albendazole, 400mg chewable tablet",PIH:941,
97069383-765b-4161-bbf7-4fac1922f63d,10653,"Albendazole, Oral suspension, 40mg/mL, 10mL bottle",PIH:941,
219685e2-dcb1-48f8-b4ff-1d19325ce097,10004,"Aluminium hydroxide 120mg + magnesium hydroxide 250mg, tablet",CIEL:103526,
bfceb41f-a027-4812-beda-25d4245fe210,10057,"Allopurinol, 100mg tablet",CIEL:70878,
3fba98d1-1db7-453d-9cfd-bd6fd0483b24,11338,"Aminophylline, Solution for injection, 25mg/mL, 10mL ampoule",CIEL:71101,
78fc4778-dfbe-11e9-8a34-2a2ae2dbcce4,14154,"Amikacin, Solution for injection, 250mg/mL, 2mL vial",CIEL:71060,
1f83d00b-2241-450f-b114-1897e4134cc6,10320,"Amiodarone hydrochloride, Solution for injection, 50mg/mL, 3mL vial",CIEL:71118,
f5766429-a4dc-4e5d-b846-8d141c766c44,19225,"Amiodarone hydrochloride, 200mg tablet",CIEL:71118,
5edb194a-70bf-4fbf-b2ca-4dce586af7f3,11109,"Amitriptyline hydrochloride, 25mg coated tablet",PIH:931,
6620289c-cc66-4892-9b2d-ecc40c746945,10667,"Amlodipine besylate, 5mg tablet",CIEL:71138,
e8ab6fe1-ce4a-4030-bca1-ea5abe0457a1,12660,"Amlodipine besylate, 10mg tablet",CIEL:71138,
5c2ffaf4-0a6e-462b-9d0c-a2c3fa25b556,10284,"Amoxicillin 500mg + clavulanic acid 125mg tablet",PIH:450,
df5181bf-f0de-4587-8922-4a4b8f811c43,12235,"Amoxicillin, 250mg tablet",PIH:265,
1491ae88-f38c-4a8c-94d5-f8385eb3b9d9,11794,"Amoxicillin, 500mg tablet",PIH:265,
